size,backend,variant,tile,compile_ms,first_launch_ms,steady_latency_ms,tflops
128,Torch,baseline,,0.0,136.38877001358196,0.011059199571609496,0.3792592739502922
128,Triton,best,64x64x16,,0.041790015529841185,0.016773120164871216,0.25006104760307746
128,PTX,iter1_scalar16,16x16x16,19.992551999166608,0.05398999201133847,0.005877760052680969,0.7135888437784884
128,PTX,iter2_scalar32,32x32x32,0.22362900199368596,0.03530003596097231,0.009297919869422912,0.45110132792102936
128,PTX,iter3_wmma32,32x32x16-tc,0.20345899974927306,0.029480026569217443,0.005836799740791321,0.7185965231404975
256,Torch,baseline,,0.0,0.3866289625875652,0.007515519857406616,4.464685429169852
256,Triton,best,64x64x16,,0.039829988963902,0.01556480050086975,2.1557894043116708
256,PTX,iter1_scalar16,16x16x16,0.01278001582249999,0.045359949581325054,0.019066879749298094,1.759828164922225
256,PTX,iter2_scalar32,32x32x32,0.011830008588731289,0.03800005652010441,0.016977920532226562,1.9763569947396564
256,PTX,iter3_wmma32,32x32x16-tc,0.010830000974237919,0.026469992008060217,0.005980160236358643,5.610958682343185
512,Torch,baseline,,0.0,0.5223790067248046,0.008785920143127441,30.55291325519009
512,Triton,best,64x64x16,,0.04160002572461963,0.015482879877090454,17.337566275198956
512,PTX,iter1_scalar16,16x16x16,0.01226901076734066,0.12975995196029544,0.1023795223236084,2.6219643333704012
512,PTX,iter2_scalar32,32x32x32,0.014319957699626684,0.14672003453597426,0.1194598388671875,2.247076997135748
512,PTX,iter3_wmma32,32x32x16-tc,0.01091999001801014,0.04390999674797058,0.023553919792175294,11.396636244349244
1024,Torch,baseline,,0.0,0.19758898997679353,0.04329472064971924,49.601512973705404
1024,Triton,best,64x64x16,,0.08113001240417361,0.04634624004364014,46.335660583855464
1024,PTX,iter1_scalar16,16x16x16,0.012830016203224659,0.7777679711580276,0.7498957061767578,2.8637097536518192
1024,PTX,iter2_scalar32,32x32x32,0.012549979146569967,0.8044179994612932,0.7701299285888672,2.788469280676964
1024,PTX,iter3_wmma32,32x32x16-tc,0.012109987437725067,0.1702099689282477,0.14473216056823732,14.837639675720308
